id,username,ip,transactionTime,startTime,endTime,authorizationID,platform,usernames,day,polygon
2,John Smith,192.168.1.47,06/11/2019 15:08,02/07/2019 14:25,2019-07-07 14:25:57 UTC,DEV-0002-2019,MailOnline,"82477910, 48803800, 89186898, 64352301",Wednesday,"POLYGON ((48.7336014, 7.0523637), (49.7336014,7.0523637),(48.7336014, 7.5523637), (49.7336014,7.5523637),(48.7336014,7.0523637))"
5,John Smith,192.168.1.55,17/05/2019 00:59,17/12/2019 12:57,2019-12-22 12:57:58 UTC,DEV-0005-2019,FinancialTimes,"68620667, 82777647, 83289988, 36167967, 42727318",Friday,"POLYGON ((41.4292615, -8.1757379), (42.4292615,-8.1757379),(41.4292615, -7.6757379), (42.4292615,-7.6757379),(41.4292615,-8.1757379))"
6,John Smith,192.168.1.12,08/04/2019 19:23,24/09/2019 00:52,2019-09-30 00:52:14 UTC,DEV-0006-2019,TheGuardian,"05360955, 18630803, 11059445, 61991625, 70216965, 47315908, 14133009, 07142459, 82122007, 18648085, 70552157",Monday,"POLYGON ((39.024258, 88.166695), (40.024258,88.166695),(39.024258, 88.666695), (40.024258,88.666695),(39.024258,88.166695))"
7,John Smith,192.168.1.12,08/05/2019 10:15,23/08/2019 03:17,2019-08-25 03:17:14 UTC,DEV-0007-2019,NewYorkTimes,"48544580, 92777093, 79591476, 77693550, 07075902, 48472605, 18022057, 14213061, 67858614, 30506165",Wednesday,"POLYGON ((14.7147473, 100.4358552), (15.7147473,100.4358552),(14.7147473, 100.9358552), (15.7147473,100.9358552),(14.7147473,100.4358552))"
9,John Smith,192.168.1.12,02/10/2019 10:45,09/02/2019 04:56,2019-02-13 04:56:10 UTC,DEV-0009-2019,TheGuardian,"44761965, 30478328, 41253836, 75812299, 88732421",Wednesday,"POLYGON ((37.2284208, 21.6360085), (38.2284208,21.6360085),(37.2284208, 22.1360085), (38.2284208,22.1360085),(37.2284208,21.6360085))"
10,John Smith,192.168.1.12,21/06/2019 12:40,30/09/2019 03:01,2019-10-02 03:01:14 UTC,DEV-0010-2019,TheSun,"68026800, 71658469, 91731646, 67072360, 19858946, 95218142",Friday,"POLYGON ((29.561775, 106.568971), (30.561775,106.568971),(29.561775, 107.068971), (30.561775,107.068971),(29.561775,106.568971))"
12,John Smith,192.168.1.12,23/07/2019 19:32,03/07/2019 20:01,2019-07-05 20:01:10 UTC,DEV-0012-2019,TheGuardian,"90980578, 04078974, 02706626, 36056542, 27751561, 13916848, 50580569, 86822434, 09555160",Tuesday,"POLYGON ((48.1232412, 22.7098053), (49.1232412,22.7098053),(48.1232412, 23.2098053), (49.1232412,23.2098053),(48.1232412,22.7098053))"
13,John Smith,192.168.1.12,04/09/2019 17:49,27/11/2019 19:27,2019-11-30 19:27:25 UTC,DEV-0013-2019,TheGuardian,"49920180, 21906119, 94606732, 06119084",Wednesday,"POLYGON ((25.179836, 119.08713), (26.179836,119.08713),(25.179836, 119.58713), (26.179836,119.58713),(25.179836,119.08713))"
14,John Smith,192.168.1.47,08/01/2020 09:49,15/03/2019 09:01,2019-03-17 09:01:41 UTC,DEV-0014-2019,FinancialTimes,"31640581, 44085145, 04837252, 54464965, 52729839",Wednesday,"POLYGON ((39.163627, 117.672041), (40.163627,117.672041),(39.163627, 118.172041), (40.163627,118.172041),(39.163627,117.672041))"
15,John Smith,192.168.1.12,23/10/2019 13:29,10/02/2019 22:08,2019-02-13 22:08:07 UTC,DEV-0015-2019,DailyExpress,"14308460, 41665072",Wednesday,"POLYGON ((22.3995577, 112.5522592), (23.3995577,112.5522592),(22.3995577, 113.0522592), (23.3995577,113.0522592),(22.3995577,112.5522592))"
16,John Smith,192.168.1.12,13/12/2019 22:18,20/08/2019 21:03,2019-08-24 21:03:12 UTC,DEV-0016-2019,TheSun,13013306,Friday,"POLYGON ((-10.10712, -76.601273), (-9.10712,-76.601273),(-10.10712, -76.101273), (-9.10712,-76.101273),(-10.10712,-76.601273))"
17,John Smith,192.168.1.12,27/06/2019 15:00,25/05/2019 11:31,2019-05-30 11:31:23 UTC,DEV-0017-2019,DailyExpress,"39849679, 19762874, 51638430",Thursday,"POLYGON ((-8.727807, 115.5444231), (-7.727807,115.5444231),(-8.727807, 116.0444231), (-7.727807,116.0444231),(-8.727807,115.5444231))"
18,John Smith,192.168.1.12,27/12/2019 22:59,14/02/2019 07:15,2019-02-18 07:15:28 UTC,DEV-0018-2019,TheGuardian,"32875807, 47391271, 09693396, 37317850, 59361438, 72222280, 61322496",Friday,"POLYGON ((4.89111, 119.79417), (error: no implicit conversion of Fixnum into String,119.79417),(4.89111, error: no implicit conversion of Float into String), (error: no implicit conversion of Fixnum into String,error: no implicit conversion of Float into String),(4.89111,119.79417))"
19,John Smith,192.168.1.12,29/03/2019 14:40,10/07/2019 16:40,2019-07-13 16:40:02 UTC,DEV-0019-2019,TheSun,"81752131, 69429578, 25239299, 75839866, 95696513, 98388857, 20963399, 49314827",Friday,"POLYGON ((1.4403744, 125.1216524), (2.4403744,125.1216524),(1.4403744, 125.6216524), (2.4403744,125.6216524),(1.4403744,125.1216524))"
20,John Smith,192.168.1.12,28/05/2019 04:48,07/08/2019 17:30,2019-08-09 17:30:54 UTC,DEV-0020-2019,DailyExpress,"83036758, 98415666",Tuesday,"POLYGON ((15.4418966, -61.2583352), (16.4418966,-61.2583352),(15.4418966, -60.7583352), (16.4418966,-60.7583352),(15.4418966,-61.2583352))"
21,John Smith,192.168.1.12,23/07/2019 03:00,21/06/2019 17:35,2019-06-25 17:35:09 UTC,DEV-0021-2019,DailyExpress,"05767986, 10980046, 08620900, 29527931, 31056938",Tuesday,"POLYGON ((20.4225249, 99.9185708), (21.4225249,99.9185708),(20.4225249, 100.4185708), (21.4225249,100.4185708),(20.4225249,99.9185708))"
24,John Smith,192.168.1.12,26/06/2019 19:26,03/09/2019 00:24,2019-09-05 00:24:23 UTC,DEV-0024-2019,MailOnline,"27048045, 76482641, 72563135, 07345078, 30409887, 26693525",Wednesday,"POLYGON ((31.1123069, -8.496595), (32.1123069,-8.496595),(31.1123069, -7.996595), (32.1123069,-7.996595),(31.1123069,-8.496595))"
25,John Smith,192.168.1.12,13/03/2019 09:58,17/04/2019 04:29,2019-04-21 04:29:36 UTC,DEV-0025-2019,NewYorkTimes,"96561201, 75025195, 38805930",Wednesday,"POLYGON ((53.4405231, 36.8430918), (54.4405231,36.8430918),(53.4405231, 37.3430918), (54.4405231,37.3430918),(53.4405231,36.8430918))"
27,John Smith,192.168.1.12,26/11/2019 22:00,25/03/2019 13:50,2019-03-29 13:50:55 UTC,DEV-0027-2019,DailyExpress,"00022351, 08599360, 82836391, 51951114, 55989242, 90328041, 18439977",Tuesday,"POLYGON ((-5.4703809, -80.7477708), (-4.4703809,-80.7477708),(-5.4703809, -80.2477708), (-4.4703809,-80.2477708),(-5.4703809,-80.7477708))"
28,John Smith,192.168.1.12,15/10/2019 11:56,19/07/2019 07:12,2019-07-22 07:12:04 UTC,DEV-0028-2019,FinancialTimes,"32319169, 45438046, 14351853",Tuesday,"POLYGON ((37.8116578, 22.869699), (38.8116578,22.869699),(37.8116578, 23.369699), (38.8116578,23.369699),(37.8116578,22.869699))"
29,John Smith,192.168.1.12,04/03/2019 01:57,21/02/2019 14:35,2019-02-24 14:35:48 UTC,DEV-0029-2019,WashingtonPost,"88245415, 77810148, 20907760, 36212541, 00334585, 09533366, 89109906, 89683426, 21823198",Monday,"POLYGON ((41.5220136, 111.7047656), (42.5220136,111.7047656),(41.5220136, 112.2047656), (42.5220136,112.2047656),(41.5220136,111.7047656))"
30,John Smith,192.168.1.12,20/08/2019 22:03,24/03/2019 04:18,2019-03-27 04:18:42 UTC,DEV-0030-2019,DailyExpress,"18570377, 36818214, 20112671, 70159902, 83446767",Tuesday,"POLYGON ((10.2376599, 10.1472181), (11.2376599,10.1472181),(10.2376599, 10.6472181), (11.2376599,10.6472181),(10.2376599,10.1472181))"
31,John Smith,192.168.1.12,28/11/2019 20:28,08/10/2019 04:39,2019-10-12 04:39:18 UTC,DEV-0031-2019,MailOnline,"89436942, 61784069, 01051347, 52646087, 35060169, 17030438, 71452091, 98618824",Thursday,"POLYGON ((30.063748, 113.562835), (31.063748,113.562835),(30.063748, 114.062835), (31.063748,114.062835),(30.063748,113.562835))"
32,John Smith,192.168.1.12,09/04/2019 22:12,23/12/2019 17:31,2019-12-27 17:31:30 UTC,DEV-0032-2019,WashingtonPost,"76394902, 31152094, 06276801, 08749030",Tuesday,"POLYGON ((43.0865623, 45.7442387), (44.0865623,45.7442387),(43.0865623, 46.2442387), (44.0865623,46.2442387),(43.0865623,45.7442387))"
34,John Smith,192.168.1.12,22/01/2020 20:22,07/11/2019 12:37,2019-11-12 12:37:10 UTC,DEV-0034-2019,WashingtonPost,"47093155, 30908953, 97058933, 96509793, 05053881, 77835369, 23046476, 74531928, 16480459",Wednesday,"POLYGON ((40.9368325, -8.5426466), (41.9368325,-8.5426466),(40.9368325, -8.0426466), (41.9368325,-8.0426466),(40.9368325,-8.5426466))"
36,John Smith,192.168.1.12,06/11/2019 03:41,06/11/2019 05:16,2019-11-12 05:16:32 UTC,DEV-0036-2019,DailyExpress,"87893921, 07030741, 88694530, 67235609",Wednesday,"POLYGON ((39.068035, 20.6971047), (40.068035,20.6971047),(39.068035, 21.1971047), (40.068035,21.1971047),(39.068035,20.6971047))"
37,John Smith,192.168.1.12,17/06/2019 17:42,28/02/2019 10:32,2019-03-06 10:32:59 UTC,DEV-0037-2019,FinancialTimes,"89121275, 55793092, 04561098, 75831212, 22703602, 07071259, 64716005, 34450450, 33010232, 01542553, 63136137",Monday,"POLYGON ((14.7049761, 121.0065736), (15.7049761,121.0065736),(14.7049761, 121.5065736), (15.7049761,121.5065736),(14.7049761,121.0065736))"
38,John Smith,192.168.1.12,18/06/2019 14:04,25/08/2019 10:26,2019-08-27 10:26:17 UTC,DEV-0038-2019,FinancialTimes,"15037922, 09151666, 16951728, 55413613, 00309071, 97296334",Tuesday,"POLYGON ((32.253408, 111.728218), (33.253408,111.728218),(32.253408, 112.228218), (33.253408,112.228218),(32.253408,111.728218))"
